timestamp,open,high,low,close,volume
2024-01-01T00:00:00,1.109633,1.109633,1.109633,1.109633,1.0
2024-01-02T00:00:00,1.105242,1.105242,1.105242,1.105242,1.0
2024-01-03T00:00:00,1.095772,1.095772,1.095772,1.095772,1.0
2024-01-04T00:00:00,1.095286,1.095286,1.095286,1.095286,1.0
2024-01-05T00:00:00,1.096834,1.096834,1.096834,1.096834,1.0
2024-01-08T00:00:00,1.096076,1.096076,1.096076,1.096076,1.0
2024-01-09T00:00:00,1.096691,1.096691,1.096691,1.096691,1.0
2024-01-10T00:00:00,1.095053,1.095053,1.095053,1.095053,1.0
2024-01-11T00:00:00,1.099202,1.099202,1.099202,1.099202,1.0
2024-01-12T00:00:00,1.099817,1.099817,1.099817,1.099817,1.0
2024-01-15T00:00:00,1.096942,1.096942,1.096942,1.096942,1.0
2024-01-16T00:00:00,1.096944,1.096944,1.096944,1.096944,1.0
2024-01-17T00:00:00,1.09219,1.09219,1.09219,1.09219,1.0
2024-01-18T00:00:00,1.092211,1.092211,1.092211,1.092211,1.0
2024-01-19T00:00:00,1.089704,1.089704,1.089704,1.089704,1.0
2024-01-22T00:00:00,1.092455,1.092455,1.092455,1.092455,1.0
2024-01-23T00:00:00,1.091652,1.091652,1.091652,1.091652,1.0
2024-01-24T00:00:00,1.089426,1.089426,1.089426,1.089426,1.0
2024-01-25T00:00:00,1.090113,1.090113,1.090113,1.090113,1.0
2024-01-26T00:00:00,1.08698,1.08698,1.08698,1.08698,1.0
2024-01-29T00:00:00,1.086094,1.086094,1.086094,1.086094,1.0
2024-01-30T00:00:00,1.085779,1.085779,1.085779,1.085779,1.0
2024-01-31T00:00:00,1.086065,1.086065,1.086065,1.086065,1.0
2024-02-01T00:00:00,1.083098,1.083098,1.083098,1.083098,1.0
2024-02-02T00:00:00,1.088922,1.088922,1.088922,1.088922,1.0
2024-02-05T00:00:00,1.079992,1.079992,1.079992,1.079992,1.0
2024-02-06T00:00:00,1.078599,1.078599,1.078599,1.078599,1.0
2024-02-07T00:00:00,1.078256,1.078256,1.078256,1.078256,1.0
2024-02-08T00:00:00,1.080464,1.080464,1.080464,1.080464,1.0
2024-02-09T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-12T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-13T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-14T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-15T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-16T00:00:00,1.081958,1.081958,1.081958,1.081958,1.0
2024-02-19T00:00:00,1.081147,1.081147,1.081147,1.081147,1.0
2024-02-20T00:00:00,1.080641,1.080641,1.080641,1.080641,1.0
