timestamp,open,high,low,close,volume
2024-01-02T00:00:00,405.84,406.09,400.24,402.59,58026931.0
2024-01-03T00:00:00,399.93,401.0,397.89,398.33,47002803.0
2024-01-04T00:00:00,396.44,399.59,396.06,396.28,39432787.0
2024-01-05T00:00:00,396.45,399.56,395.34,396.75,44922800.0
2024-01-08T00:00:00,397.99,405.24,397.8399,404.95,42473795.0
2024-01-09T00:00:00,401.91,406.69,401.71,405.75,39132860.0
2024-01-10T00:00:00,406.07,409.515,405.17,408.5,33962774.0
2024-01-11T00:00:00,409.79,411.2004,404.242,409.35,54536148.0
2024-01-12T00:00:00,410.4,411.25,408.15,409.56,39594802.0
2024-01-16T00:00:00,408.31,411.12,406.83,409.52,43902877.0
2024-01-17T00:00:00,406.17,407.585,402.92,407.21,54385943.0
2024-01-18T00:00:00,410.52,413.575,409.1601,412.99,59562402.0
2024-01-19T00:00:00,415.22,421.34,414.625,421.18,70325041.0
2024-01-22T00:00:00,423.41,424.7275,421.12,421.73,44880629.0
2024-01-23T00:00:00,422.43,423.7,420.57,423.48,33003806.0
2024-01-24T00:00:00,427.44,429.85,425.33,425.83,46947961.0
2024-01-25T00:00:00,428.36,429.04,423.98,426.35,44367205.0
2024-01-26T00:00:00,424.44,426.21,423.15,423.81,37137016.0
2024-01-29T00:00:00,424.27,428.35,423.61,428.15,38694724.0
2024-01-30T00:00:00,427.1,427.68,424.38,425.3,36738841.0
2024-01-31T00:00:00,420.85,422.8699,416.79,416.97,64010649.0
2024-02-01T00:00:00,418.79,422.375,417.81,421.88,51008622.0
2024-02-02T00:00:00,423.8,430.24,422.79,429.01,59602407.0
2024-02-05T00:00:00,429.07,429.61,425.0,428.45,39889209.0
2024-02-06T00:00:00,429.61,430.22,425.22,427.59,35846133.0
2024-02-07T00:00:00,430.41,432.83,429.09,431.99,37712652.0
2024-02-08T00:00:00,432.11,433.56,431.42,432.79,29889892.0
2024-02-09T00:00:00,433.94,437.845,433.1401,437.05,36943855.0
2024-02-12T00:00:00,436.94,439.14,434.65,435.34,33203061.0
2024-02-13T00:00:00,427.28,431.27,425.3305,428.55,64491619.0
2024-02-14T00:00:00,431.26,433.65,428.8799,433.22,45092639.0
2024-02-15T00:00:00,433.92,434.98,431.33,434.51,38796132.0
2024-02-16T00:00:00,434.89,434.99,429.85,430.57,53716375.0
2024-02-20T00:00:00,428.55,430.08,423.5,427.32,53999427.0
2024-02-21T00:00:00,424.55,425.7,421.63,425.61,50179677.0
2024-02-22T00:00:00,434.49,439.12,433.71,438.07,53887676.0
2024-02-23T00:00:00,439.65,440.59,435.79,436.78,39853805.0
2024-02-26T00:00:00,437.6,438.6,436.355,436.55,33043238.0
2024-02-27T00:00:00,437.67,437.99,435.025,437.6,33713220.0
