timestamp,open,high,low,close,volume
2024-01-02T00:00:00,481.24,483.8,480.82,483.32,37141.0
2024-01-03T00:00:00,483.7,484.26,482.0,483.58,103087.0
2024-01-04T00:00:00,480.8,482.12,478.9,481.64,153003.0
2024-01-05T00:00:00,481.74,483.18,480.86,482.38,94913.0
2024-01-08T00:00:00,481.5,484.52,480.06,481.72,195026.0
2024-01-09T00:00:00,479.68,482.0,478.82,481.02,130398.0
2024-01-10T00:00:00,481.2,482.26,479.76,479.86,126122.0
2024-01-11T00:00:00,480.62,481.48,479.48,480.24,115386.0
2024-01-12T00:00:00,480.28,482.3,477.68,480.78,206543.0
2024-01-15T00:00:00,482.7,484.4,482.04,483.58,183843.0
2024-01-16T00:00:00,483.58,484.0,482.92,483.34,79238.0
2024-01-17T00:00:00,482.0,483.18,479.42,479.66,194971.0
2024-01-18T00:00:00,480.94,480.98,478.06,478.72,154120.0
2024-01-19T00:00:00,479.2,480.74,478.46,480.36,102473.0
2024-01-22T00:00:00,481.7,482.24,478.64,478.88,152765.0
2024-01-23T00:00:00,480.3,480.3,477.22,479.18,119090.0
2024-01-24T00:00:00,478.52,478.84,477.74,478.66,89558.0
2024-01-25T00:00:00,478.96,479.16,476.32,476.84,158471.0
2024-01-26T00:00:00,476.84,478.98,476.4,478.72,135260.0
2024-01-29T00:00:00,478.72,480.44,477.96,480.04,125295.0
2024-01-30T00:00:00,480.08,481.32,479.12,481.0,121527.0
2024-01-31T00:00:00,481.42,482.74,480.58,481.58,145507.0
2024-02-01T00:00:00,482.0,483.72,481.58,482.84,124204.0
2024-02-02T00:00:00,481.5,484.9,480.84,484.82,154979.0
2024-02-05T00:00:00,484.56,485.18,481.0,481.44,155372.0
2024-02-06T00:00:00,480.38,481.86,479.76,480.66,86678.0
2024-02-07T00:00:00,480.1,482.78,480.1,482.1,81485.0
2024-02-08T00:00:00,482.86,484.28,482.36,483.54,68874.0
2024-02-19T00:00:00,480.96,481.48,479.66,480.7,48395.0
2024-02-20T00:00:00,480.2,481.06,480.08,480.42,50524.0
2024-02-21T00:00:00,481.4,482.08,480.3,480.42,77555.0
2024-02-22T00:00:00,480.7,481.02,479.32,480.06,53831.0
2024-02-23T00:00:00,480.08,480.54,478.52,478.96,75190.0
2024-02-26T00:00:00,479.96,481.8,479.74,481.54,84933.0
2024-02-27T00:00:00,481.22,481.7,480.22,481.42,73967.0
2024-02-28T00:00:00,482.1,482.3,481.12,481.28,90141.0
2024-02-29T00:00:00,481.16,482.2,481.04,481.82,56471.0
2024-03-01T00:00:00,480.8,484.04,480.8,483.8,82911.0
2024-03-04T00:00:00,485.1,490.86,483.54,490.1,115111.0
2024-03-05T00:00:00,490.44,498.24,490.44,497.36,223914.0
