timestamp,open,high,low,close,volume
2024-01-02T00:00:00,472.16,473.67,470.49,472.65,123007788.0
2024-01-03T00:00:00,470.43,471.19,468.17,468.79,103585865.0
2024-01-04T00:00:00,468.3,470.96,467.05,467.28,84232111.0
2024-01-05T00:00:00,467.49,470.44,466.43,467.92,86118879.0
2024-01-08T00:00:00,468.43,474.75,468.3,474.6,74879049.0
2024-01-09T00:00:00,471.87,474.93,471.35,473.88,65931439.0
2024-01-10T00:00:00,474.16,477.4481,473.87,476.56,67310640.0
2024-01-11T00:00:00,477.59,478.12,472.26,476.35,77940658.0
2024-01-12T00:00:00,477.84,478.6,475.23,476.68,58026382.0
2024-01-16T00:00:00,475.26,476.6098,473.06,474.93,85014870.0
2024-01-17T00:00:00,471.82,472.79,469.87,472.29,68843739.0
2024-01-18T00:00:00,474.01,477.06,472.42,476.49,91856248.0
2024-01-19T00:00:00,477.65,482.72,476.5374,482.43,110834473.0
2024-01-22T00:00:00,484.01,485.22,482.78,483.45,75844830.0
2024-01-23T00:00:00,484.01,485.105,482.89,484.86,49945283.0
2024-01-24T00:00:00,487.81,488.77,484.8819,485.39,81765029.0
2024-01-25T00:00:00,487.575,488.305,485.39,488.03,72524989.0
2024-01-26T00:00:00,487.59,489.12,486.54,487.41,76641554.0
2024-01-29T00:00:00,487.73,491.415,487.17,491.27,61322749.0
2024-01-30T00:00:00,490.56,491.62,490.11,490.89,58618384.0
2024-01-31T00:00:00,488.62,489.0813,482.86,482.88,126011062.0
2024-02-01T00:00:00,484.63,489.23,483.8,489.2,91891635.0
2024-02-02T00:00:00,489.65,496.05,489.3,494.35,99228191.0
2024-02-05T00:00:00,493.695,494.3778,490.23,492.55,75757102.0
2024-02-06T00:00:00,493.52,494.32,492.05,493.98,55918562.0
2024-02-07T00:00:00,496.29,498.53,495.36,498.1,70556506.0
2024-02-08T00:00:00,498.1,498.71,497.26,498.32,52343597.0
2024-02-09T00:00:00,498.84,501.65,498.49,501.2,63979375.0
2024-02-12T00:00:00,501.17,503.5,500.24,500.98,56502087.0
2024-02-13T00:00:00,494.53,497.09,490.715,494.08,113099199.0
2024-02-14T00:00:00,496.79,499.07,494.4,498.57,68387826.0
2024-02-15T00:00:00,499.29,502.2,498.795,502.01,61682960.0
2024-02-16T00:00:00,501.7,502.87,498.75,499.51,75532928.0
